id,repo,target_file,kind,signature,base_status,base_compiles,base_files,base_secs,new_status,new_compiles,new_files,new_secs
checkstyle-0104,checkstyle,com/puppycrawl/tools/checkstyle/checks/sizes/MethodLengthCheck.java,method,"com.puppycrawl.tools.checkstyle.checks.sizes.MethodLengthCheck#setMax(int)",ok,compiles,7,13.2,ok,compiles,7,13.6
checkstyle-0105,checkstyle,com/puppycrawl/tools/checkstyle/checks/coding/ConstructorsDeclarationGroupingCheck.java,field,"com.puppycrawl.tools.checkstyle.checks.coding.ConstructorsDeclarationGroupingCheck#MSG_ORDER",ok,compiles,7,14.0,ok,compiles,7,13.4
checkstyle-0106,checkstyle,com/puppycrawl/tools/checkstyle/checks/coding/RequireThisCheck.java,field,"com.puppycrawl.tools.checkstyle.checks.coding.RequireThisCheck.AbstractFrame#frameNameIdent",ok,compiles,8,13.8,ok,compiles,8,13.2
checkstyle-0107,checkstyle,com/puppycrawl/tools/checkstyle/DefaultLogger.java,field,"com.puppycrawl.tools.checkstyle.DefaultLogger#ADD_EXCEPTION_MESSAGE",ok,compiles,5,13.3,ok,compiles,5,12.7
checkstyle-0108,checkstyle,com/puppycrawl/tools/checkstyle/checks/indentation/StaticInitHandler.java,method,"com.puppycrawl.tools.checkstyle.checks.indentation.StaticInitHandler#StaticInitHandler(IndentationCheck,DetailAST,AbstractExpressionHandler)",ok,compiles,11,14.2,ok,compiles,11,13.8
checkstyle-0109,checkstyle,com/puppycrawl/tools/checkstyle/checks/coding/EqualsAvoidNullCheck.java,method,"com.puppycrawl.tools.checkstyle.checks.coding.EqualsAvoidNullCheck#finishTree(DetailAST)",ok,compiles,8,12.8,ok,compiles,8,12.7
checkstyle-0110,checkstyle,com/puppycrawl/tools/checkstyle/checks/whitespace/ParenPadCheck.java,method,"com.puppycrawl.tools.checkstyle.checks.whitespace.ParenPadCheck#isPrecedingEmptyForInit(DetailAST)",ok,compiles,11,13.9,ok,compiles,11,16.9
checkstyle-0111,checkstyle,com/puppycrawl/tools/checkstyle/api/JavadocCommentsTokenTypes.java,field,"com.puppycrawl.tools.checkstyle.api.JavadocCommentsTokenTypes#RETURN_BLOCK_TAG",ok,compiles,2,12.1,ok,compiles,2,20.9
checkstyle-0112,checkstyle,com/puppycrawl/tools/checkstyle/filters/SuppressFilterElement.java,method,"com.puppycrawl.tools.checkstyle.filters.SuppressFilterElement#SuppressFilterElement(Pattern,Pattern,Pattern,String,String,String)",ok,compiles,4,15.6,ok,compiles,4,27.4
checkstyle-0113,checkstyle,com/puppycrawl/tools/checkstyle/api/AuditEvent.java,method,"com.puppycrawl.tools.checkstyle.api.AuditEvent#getMessage()",ok,compiles,2,15.3,ok,compiles,2,26.8
checkstyle-0114,checkstyle,com/puppycrawl/tools/checkstyle/checks/javadoc/JavadocMethodCheck.java,method,"com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocMethodCheck#setAccessModifiers(AccessModifierOption...)",ok,compiles,10,20.9,ok,compiles,10,32.6
checkstyle-0115,checkstyle,com/puppycrawl/tools/checkstyle/api/TokenTypes.java,field,"com.puppycrawl.tools.checkstyle.api.TokenTypes#ELIST",ok,compiles,2,19.6,ok,compiles,2,28.6
checkstyle-0116,checkstyle,com/puppycrawl/tools/checkstyle/JavadocCommentsAstVisitor.java,method,"com.puppycrawl.tools.checkstyle.JavadocCommentsAstVisitor#visitHtmlTagStart(JavadocCommentsParser.HtmlTagStartContext)",ok,fails,8,35.4,ok,fails,8,32.2
checkstyle-0117,checkstyle,com/puppycrawl/tools/checkstyle/JavaAstVisitor.java,method,"com.puppycrawl.tools.checkstyle.JavaAstVisitor#visitMultiLambdaParams(JavaLanguageParser.MultiLambdaParamsContext)",crash,na,0,35.8,crash,na,0,29.2
checkstyle-0118,checkstyle,com/puppycrawl/tools/checkstyle/checks/imports/ImportControlLoader.java,field,"com.puppycrawl.tools.checkstyle.checks.imports.ImportControlLoader#ALLOW_ELEMENT_NAME",ok,compiles,2,27.0,ok,compiles,2,23.9
checkstyle-0119,checkstyle,com/puppycrawl/tools/checkstyle/checks/OuterTypeFilenameCheck.java,method,"com.puppycrawl.tools.checkstyle.checks.OuterTypeFilenameCheck#getRequiredTokens()",crash,na,0,25.5,crash,na,0,22.2
checkstyle-0120,checkstyle,com/puppycrawl/tools/checkstyle/checks/coding/AbstractSuperCheck.java,field,"com.puppycrawl.tools.checkstyle.checks.coding.AbstractSuperCheck#methodStack",ok,compiles,7,25.6,ok,compiles,7,21.9
checkstyle-0121,checkstyle,com/puppycrawl/tools/checkstyle/checks/coding/ReturnCountCheck.java,method,"com.puppycrawl.tools.checkstyle.checks.coding.ReturnCountCheck#leave(DetailAST)",ok,compiles,8,25.2,ok,compiles,8,22.6
checkstyle-0122,checkstyle,com/puppycrawl/tools/checkstyle/checks/coding/VariableDeclarationUsageDistanceCheck.java,field,"com.puppycrawl.tools.checkstyle.checks.coding.VariableDeclarationUsageDistanceCheck#MSG_KEY",ok,compiles,7,24.8,ok,compiles,7,25.8
